
20	41	May 1 1999 (1999-05-01)	March 3 2001 (2001-03-03)
20	39	October 20 2000 (2000-10-20)	July 26 2003 (2003-07-26)
20	37	October 5 2001 (2001-10-05)	October 11 2004 (2004-10-11)
20	38	May 6 2005 (2005-05-06)	July 24 2007 (2007-07-24)
20	41	February 19 2007 (2007-02-19)	July 19 2009 (2009-07-19)
26	47	March 3 2008 (2008-03-03)	July 5 2010 (2010-07-05)
26	50	July 19 2009 (2009-07-19)	June 11 2011 (2011-06-11)
26	47	March 26 2011 (2011-03-26)	December 6 2012 (2012-12-06)
26	49	July 21 2012 (2012-07-21)	February 20 2017 (2017-02-20)
11	22	October 15 2016 (2016-10-15)	December 2 2017 (2017-12-02)
26	50	June 24 2017 (2017-06-24)	November 25 2018 (2018-11-25)
31	53	November 11 2018 (2018-11-11)	April 29 2022 (2022-04-29)
28	54	October 22 2020 (2020-10-22)	November 1 2023 (2023-11-01)
26[4]	TBA	November 2 2023 (2023-11-02)	TBA
